Gene	Chromosome	Start	End	Mutations	Tier	Type
TP53	17	7661779	7687550	10000	1	Tumor Suppressor
KRAS	12	25205246	25250929	8500	1	Oncogene
PIK3CA	3	179148114	179240093	7200	1	Oncogene
BRAF	7	140719327	140924928	5800	1	Oncogene
EGFR	7	55019017	55211628	4900	1	Oncogene
PTEN	10	87863113	87971930	4500	1	Tumor Suppressor
BRCA1	17	43044295	43170245	4200	1	Tumor Suppressor
BRCA2	13	32315086	32400266	3800	1	Tumor Suppressor
APC	5	112707498	112846239	3500	1	Tumor Suppressor
RB1	13	48303751	48481890	3200	1	Tumor Suppressor
MYC	8	127735434	127742951	2900	1	Oncogene
ERBB2	17	39687914	39730426	2700	1	Oncogene
CDKN2A	9	21967751	21995300	2500	1	Tumor Suppressor
VHL	3	10141618	10154220	2300	1	Tumor Suppressor
NF1	17	31094927	31377677	2100	1	Tumor Suppressor
ATM	11	108222484	108369102	2000	1	Tumor Suppressor
ALK	2	29192774	29921586	1900	1	Oncogene
RET	10	43572517	43625799	1800	1	Oncogene
IDH1	2	208236227	208255328	1700	2	Metabolic
IDH2	15	90088606	90101916	1600	2	Metabolic
NRAS	1	114704469	114716894	1500	2	Oncogene
HRAS	11	534242	535550	1400	2	Oncogene
STK11	19	1189289	1228434	1300	2	Tumor Suppressor
SMAD4	18	51028394	51085045	1250	2	Tumor Suppressor
FBXW7	4	152322178	152427717	1200	2	Tumor Suppressor
